,ID,V,e_V,V-R,e_V-R,V-I,e_V-I,abs(V),abs(V-I),abs(V-R),abs(R-I)
1,05212440,17.334,0.089,0.598,0.117,0.957,0.161,8.695937431123282,1.149696,0.6917439999999999,0.45795200000000014
2,05212528,15.616,0.022,0.685,0.03,1.343,0.033,6.977937431123282,1.535696,0.7787439999999999,0.7569520000000001
6,05212942,17.236,0.044,0.567,0.06,1.276,0.068,8.597937431123283,1.4686960000000002,0.660744,0.8079520000000002
7,05212026,15.719,0.011,0.828,0.015,1.601,0.016,7.0809374311232816,1.793696,0.9217439999999999,0.8719520000000001
9,05214060,16.13,0.013,0.734,0.017,1.396,0.02,7.491937431123281,1.5886959999999999,0.8277439999999998,0.7609520000000001
15,05214022,16.163,0.014,0.649,0.019,1.339,0.022,7.524937431123282,1.531696,0.7427439999999998,0.7889520000000001
35,05220234,17.412,0.042,1.025,0.05,1.946,0.053,8.773937431123281,2.138696,1.1187439999999997,1.0199520000000002
41,05221173,16.501,0.024,0.778,0.029,1.552,0.031,7.862937431123283,1.744696,0.8717439999999999,0.8729520000000002
43,05220019,16.382,0.018,0.784,0.023,1.514,0.025,7.743937431123284,1.7066960000000002,0.8777440000000001,0.8289520000000001
46,05220884,14.656,0.004,1.061,0.005,2.065,0.005,6.017937431123283,2.2576959999999997,1.1547439999999998,1.102952
64,05212242,13.801,0.003,0.779,0.004,1.563,0.004,5.162937431123282,1.7556960000000001,0.872744,0.8829520000000002
69,05211764,17.528,0.045,1.038,0.054,1.92,0.056,8.88993743112328,2.1126959999999997,1.131744,0.9809519999999996
78,05214145,17.32,0.038,1.051,0.045,1.974,0.047,8.681937431123282,2.166696,1.144744,1.021952
87,05213087,17.114,0.035,0.832,0.042,1.591,0.046,8.475937431123283,1.7836960000000002,0.9257439999999999,0.8579520000000003
92,05215218,16.856,0.024,0.721,0.031,1.527,0.034,8.217937431123284,1.7196960000000001,0.8147439999999999,0.9049520000000002
93,05215180,17.207,0.037,-0.681,0.1,-0.355,0.178,8.568937431123283,-0.16230399999999998,-0.587256,0.424952
97,05214939,17.068,0.031,0.635,0.041,1.33,0.048,8.429937431123284,1.522696,0.7287440000000001,0.793952
111,05214682,16.312,0.015,0.871,0.019,1.815,0.02,7.673937431123283,2.0076959999999997,0.9647439999999998,1.0429519999999999
117,05214752,13.945,0.003,0.565,0.004,1.155,0.004,5.306937431123282,1.3476960000000002,0.658744,0.6889520000000002
120,05220737,17.624,0.05,0.856,0.064,1.618,0.07,8.985937431123281,1.8106960000000003,0.9497439999999999,0.8609520000000004
122,05220714,17.357,0.041,0.932,0.052,1.816,0.055,8.718937431123281,2.008696,1.025744,0.982952
126,05220945,15.971,0.012,0.616,0.017,1.249,0.02,7.332937431123282,1.441696,0.7097439999999999,0.7319520000000002
135,05220371,17.506,0.048,0.841,0.06,1.513,0.069,8.867937431123282,1.7056959999999999,0.934744,0.7709519999999999
136,05221242,16.62,0.02,0.948,0.026,1.85,0.027,7.981937431123283,2.042696,1.0417439999999998,1.000952
140,05220364,15.765,0.01,0.735,0.014,1.451,0.016,7.126937431123283,1.643696,0.8287439999999999,0.8149520000000001
141,05220261,17.193,0.037,0.744,0.048,1.442,0.055,8.554937431123284,1.6346960000000001,0.837744,0.7969520000000001
143,05220131,17.429,0.048,0.954,0.057,1.849,0.06,8.79093743112328,2.041696,1.047744,0.993952
151,05221924,16.025,0.013,0.964,0.017,1.881,0.017,7.386937431123281,2.073696,1.0577439999999998,1.0159520000000002
152,05222297,17.546,0.049,0.951,0.059,1.814,0.062,8.907937431123282,2.006696,1.044744,0.9619519999999999
169,05211725,15.858,0.011,0.768,0.014,1.558,0.016,7.219937431123283,1.7506960000000003,0.8617440000000001,0.8889520000000002
170,05211740,16.758,0.023,0.679,0.031,1.415,0.035,8.119937431123281,1.607696,0.7727440000000001,0.8349519999999999
177,05212972,17.552,0.046,0.912,0.056,1.723,0.062,8.913937431123282,1.9156960000000003,1.005744,0.9099520000000003
180,05212574,17.271,0.038,0.914,0.047,1.81,0.048,8.632937431123283,2.002696,1.007744,0.9949519999999998
183,05213187,16.438,0.017,0.869,0.022,1.697,0.023,7.799937431123281,1.889696,0.962744,0.926952
184,05213646,15.527,0.009,0.624,0.012,1.323,0.014,6.888937431123281,1.515696,0.7177439999999999,0.797952
186,05213408,16.366,0.017,0.751,0.022,1.556,0.024,7.727937431123282,1.748696,0.8447439999999999,0.9039520000000001
188,05213070,16.634,0.022,0.705,0.028,1.492,0.03,7.9959374311232825,1.684696,0.7987439999999999,0.8859520000000001
191,05213763,16.331,0.02,0.812,0.025,1.5,0.026,7.692937431123282,1.692696,0.9057440000000001,0.7869519999999999
192,05214315,8.585,0.006,0.278,0.007,0.885,0.007,-0.05306256887671712,1.0776960000000002,0.371744,0.7059520000000001
203,05214355,8.585,0.006,0.277,0.007,0.885,0.007,-0.05306256887671712,1.0776960000000002,0.370744,0.7069520000000002
208,05214845,17.129,0.039,0.931,0.046,1.817,0.048,8.490937431123283,2.009696,1.0247439999999999,0.984952
209,05214879,13.689,0.002,0.503,0.003,0.977,0.004,5.050937431123282,1.169696,0.5967439999999999,0.5729520000000001
214,05215425,16.979,0.03,1.055,0.035,2.186,0.035,8.340937431123281,2.3786959999999997,1.148744,1.2299519999999997
219,05214711,17.422,0.052,0.739,0.063,1.45,0.069,8.783937431123283,1.6426960000000002,0.8327439999999999,0.8099520000000002
222,05215669,16.442,0.019,0.805,0.025,1.61,0.027,7.803937431123282,1.8026960000000003,0.898744,0.9039520000000003
225,05220739,17.426,0.047,0.98,0.058,1.948,0.059,8.78793743112328,2.1406959999999997,1.0737439999999998,1.066952
227,05220146,15.541,0.014,0.66,0.018,1.279,0.022,6.9029374311232825,1.471696,0.753744,0.7179519999999999
229,05220990,16.173,0.014,0.851,0.018,1.672,0.019,7.53493743112328,1.8646960000000001,0.9447439999999998,0.9199520000000003
234,05220221,10.3,0.001,0.216,0.001,0.943,0.001,1.6619374311232828,1.135696,0.30974399999999996,0.825952
237,05220182,14.452,0.005,-2.972,0.077,-2.324,0.093,5.813937431123282,-2.131304,-2.878256,0.7469519999999998
239,05221033,14.141,0.003,1.16,0.004,2.237,0.004,5.502937431123282,2.429696,1.253744,1.1759519999999999
241,05220257,16.686,0.025,0.75,0.031,1.486,0.034,8.047937431123282,1.6786960000000002,0.8437439999999998,0.8349520000000004
244,05222978,17.415,0.044,0.777,0.057,1.414,0.068,8.776937431123281,1.6066960000000001,0.870744,0.7359520000000002
247,05222420,10.831,0.001,0.31,0.001,0.964,0.001,2.1929374311232817,1.156696,0.40374399999999994,0.7529520000000001
249,05221933,16.946,0.028,1.017,0.033,2.003,0.034,8.307937431123284,2.195696,1.1107439999999997,1.0849520000000001
252,05221698,10.983,0.001,0.791,0.001,1.953,0.001,2.3449374311232827,2.145696,0.884744,1.260952
255,05222419,15.418,0.008,0.793,0.011,1.575,0.011,6.779937431123281,1.7676960000000002,0.886744,0.8809520000000002
256,05222341,17.289,0.042,0.563,0.058,1.314,0.065,8.650937431123284,1.506696,0.656744,0.849952
257,05222078,13.398,0.002,0.555,0.003,1.062,0.004,4.759937431123282,1.2546960000000003,0.648744,0.6059520000000003
260,05221632,17.244,0.038,0.762,0.049,1.423,0.057,8.605937431123282,1.615696,0.8557439999999998,0.7599520000000002
268,05222765,17.425,0.046,0.815,0.058,1.562,0.062,8.786937431123283,1.7546960000000003,0.9087439999999998,0.8459520000000005
279,05212243,17.436,0.041,0.806,0.052,1.58,0.057,8.797937431123282,1.772696,0.8997439999999999,0.8729520000000002
284,05212240,16.626,0.02,0.682,0.028,1.314,0.032,7.987937431123283,1.506696,0.775744,0.730952
294,05211995,16.771,0.024,0.798,0.03,1.642,0.032,8.132937431123283,1.8346959999999999,0.8917439999999999,0.942952
295,05212419,14.274,0.003,0.637,0.004,1.291,0.005,5.635937431123281,1.483696,0.7307439999999998,0.7529520000000001
296,05212365,17.374,0.047,0.649,0.063,1.413,0.069,8.735937431123281,1.6056960000000002,0.7427439999999998,0.8629520000000004
299,05212914,16.569,0.019,0.918,0.024,1.776,0.025,7.930937431123281,1.9686960000000002,1.011744,0.9569520000000002
304,05213921,14.734,0.004,0.656,0.006,1.294,0.007,6.095937431123282,1.486696,0.749744,0.736952
306,05214429,15.804,0.01,0.747,0.014,1.499,0.014,7.165937431123282,1.691696,0.8407439999999999,0.8509520000000002
307,05214232,17.461,0.075,0.856,0.085,1.469,0.09,8.82293743112328,1.6616960000000003,0.9497439999999999,0.7119520000000004
308,05214470,13.539,0.002,0.543,0.003,1.095,0.004,4.900937431123282,1.2876960000000002,0.636744,0.6509520000000002
313,05213030,16.963,0.027,0.962,0.033,1.946,0.033,8.324937431123283,2.138696,1.055744,1.082952
315,05213187,16.36,0.015,0.729,0.021,1.454,0.023,7.721937431123282,1.6466960000000002,0.8227439999999999,0.8239520000000002
317,05213288,17.33,0.038,0.651,0.051,1.398,0.056,8.69193743112328,1.590696,0.7447440000000001,0.845952
327,05215286,17.493,0.044,0.628,0.06,1.314,0.068,8.85493743112328,1.506696,0.7217439999999999,0.7849520000000001
329,05215363,17.57,0.05,0.598,0.068,1.308,0.073,8.931937431123282,1.5006960000000003,0.6917439999999999,0.8089520000000003
332,05215400,16.442,0.02,0.525,0.026,-0.989,0.161,7.803937431123282,-0.796304,0.618744,-1.415048
334,05215412,15.784,0.01,0.611,0.014,1.219,0.017,7.145937431123283,1.4116960000000003,0.704744,0.7069520000000002
338,05215589,17.308,0.037,0.898,0.045,1.705,0.051,8.669937431123282,1.897696,0.991744,0.9059520000000001
341,05215132,17.177,0.035,0.736,0.044,1.325,0.052,8.538937431123282,1.5176960000000002,0.829744,0.6879520000000001
346,05214748,16.24,0.015,0.622,0.021,1.222,0.025,7.601937431123281,1.414696,0.7157439999999999,0.698952
349,05214926,15.722,0.01,0.645,0.014,1.288,0.016,7.083937431123282,1.4806960000000002,0.7387439999999998,0.7419520000000004
350,05214940,16.117,0.013,0.597,0.018,1.248,0.021,7.478937431123283,1.4406960000000002,0.690744,0.7499520000000002
365,05221399,17.616,0.047,1.009,0.056,2.031,0.058,8.977937431123282,2.223696,1.1027439999999997,1.1209520000000002
366,05222761,17.481,0.044,0.86,0.055,1.797,0.058,8.842937431123284,1.9896960000000001,0.9537439999999999,1.0359520000000002
372,05221665,16.963,0.028,0.653,0.038,1.358,0.042,8.324937431123283,1.550696,0.7467439999999999,0.8039520000000002
373,05222885,17.102,0.033,0.852,0.042,1.695,0.046,8.463937431123282,1.8876960000000003,0.9457439999999999,0.9419520000000003
375,05222114,17.13,0.031,0.858,0.04,1.707,0.042,8.491937431123281,1.8996960000000003,0.9517439999999999,0.9479520000000003
376,05222402,11.727,0.001,-0.384,0.001,0.484,0.001,3.0889374311232825,0.676696,-0.290256,0.966952
379,05222896,16.79,0.025,0.783,0.031,1.62,0.034,8.151937431123281,1.812696,0.876744,0.9359520000000001
381,05222701,16.433,0.018,0.786,0.023,1.603,0.025,7.794937431123282,1.7956960000000002,0.8797439999999999,0.9159520000000003
414,05213906,16.483,0.019,-0.26,0.045,0.746,0.045,7.844937431123283,0.9386959999999999,-0.16625600000000001,1.104952
416,05213491,17.316,0.036,0.71,0.046,1.505,0.053,8.677937431123281,1.6976959999999999,0.8037439999999998,0.8939520000000001
418,05214374,15.56,0.008,0.899,0.01,1.701,0.011,6.921937431123283,1.893696,0.9927439999999998,0.9009520000000002
420,05214308,16.796,0.024,0.749,0.031,1.455,0.034,8.157937431123282,1.647696,0.8427439999999999,0.8049520000000001
425,05214160,14.971,0.005,0.497,0.008,1.044,0.01,6.332937431123282,1.236696,0.5907439999999999,0.6459520000000001
426,05214130,16.845,0.03,0.347,0.041,0.946,0.056,8.206937431123281,1.1386960000000002,0.44074399999999997,0.6979520000000001
438,05213112,15.935,0.011,0.916,0.014,1.824,0.015,7.296937431123283,2.016696,1.009744,1.006952
439,05213695,16.784,0.024,0.78,0.03,1.511,0.035,8.145937431123281,1.703696,0.8737440000000001,0.829952
441,05214101,16.841,0.025,0.792,0.031,1.49,0.036,8.202937431123283,1.6826960000000002,0.8857440000000001,0.7969520000000001
445,05213956,14.729,0.005,0.757,0.006,1.504,0.007,6.090937431123281,1.696696,0.850744,0.845952
447,05215031,16.863,0.024,0.688,0.031,1.415,0.035,8.224937431123282,1.607696,0.781744,0.825952
449,05214872,17.611,0.047,0.669,0.063,1.25,0.075,8.972937431123283,1.442696,0.7627439999999999,0.6799520000000001
454,05214877,15.034,0.006,0.971,0.007,1.899,0.008,6.395937431123283,2.0916959999999998,1.064744,1.0269519999999999
